provider,date,site_id,site_name,inverter_id,inverter_name,inverter_serial,inverter_model,inverter_rated_kw,inverter_rating_source,daily_energy_kwh,sun_hours,revenue_amount
solis,2025-01-20,1298491919449775028,Harker Arena,1308675217948824631,4804040241200012,4804040241200012,0404,6.0,,1.0,0.17,0.13
solis,2025-01-20,1298491919449775028,Harker Arena,1308675217948824676,4804040241200044,4804040241200044,0404,6.0,,1.1,0.18,0.143
solis,2025-01-20,1298491919449775028,Harker Arena,1308675217948824790,4804040241200032,4804040241200032,0404,6.0,,1.1,0.18,0.143
solis,2025-01-20,1298491919449775028,Harker Arena,1308675217948824824,4804040241200005,4804040241200005,0404,6.0,,0.9,0.15,0.117
solis,2025-01-21,1298491919449775028,Harker Arena,1308675217948824631,4804040241200012,4804040241200012,0404,6.0,,8.6,1.43,1.118
solis,2025-01-21,1298491919449775028,Harker Arena,1308675217948824676,4804040241200044,4804040241200044,0404,6.0,,9.2,1.53,1.196
solis,2025-01-21,1298491919449775028,Harker Arena,1308675217948824790,4804040241200032,4804040241200032,0404,6.0,,9.1,1.52,1.183
solis,2025-01-21,1298491919449775028,Harker Arena,1308675217948824824,4804040241200005,4804040241200005,0404,6.0,,7.0,1.17,0.91
solis,2025-01-22,1298491919449775028,Harker Arena,1308675217948824631,4804040241200012,4804040241200012,0404,6.0,,11.2,1.87,1.456
solis,2025-01-22,1298491919449775028,Harker Arena,1308675217948824676,4804040241200044,4804040241200044,0404,6.0,,11.7,1.95,1.521
solis,2025-01-22,1298491919449775028,Harker Arena,1308675217948824790,4804040241200032,4804040241200032,0404,6.0,,11.6,1.93,1.508
solis,2025-01-22,1298491919449775028,Harker Arena,1308675217948824824,4804040241200005,4804040241200005,0404,6.0,,11.4,1.9,1.482
solis,2025-01-23,1298491919449775028,Harker Arena,1308675217948824631,4804040241200012,4804040241200012,0404,6.0,,3.9,0.65,0.507
solis,2025-01-23,1298491919449775028,Harker Arena,1308675217948824676,4804040241200044,4804040241200044,0404,6.0,,3.9,0.65,0.507
solis,2025-01-23,1298491919449775028,Harker Arena,1308675217948824790,4804040241200032,4804040241200032,0404,6.0,,3.9,0.65,0.507
solis,2025-01-23,1298491919449775028,Harker Arena,1308675217948824824,4804040241200005,4804040241200005,0404,6.0,,4.0,0.67,0.52
solis,2025-01-24,1298491919449775028,Harker Arena,1308675217948824631,4804040241200012,4804040241200012,0404,6.0,,3.5,0.58,0.455
solis,2025-01-24,1298491919449775028,Harker Arena,1308675217948824676,4804040241200044,4804040241200044,0404,6.0,,4.2,0.7,0.546
solis,2025-01-24,1298491919449775028,Harker Arena,1308675217948824790,4804040241200032,4804040241200032,0404,6.0,,3.8,0.63,0.494
solis,2025-01-24,1298491919449775028,Harker Arena,1308675217948824824,4804040241200005,4804040241200005,0404,6.0,,3.4,0.57,0.442
solis,2025-01-25,1298491919449775028,Harker Arena,1308675217948824631,4804040241200012,4804040241200012,0404,6.0,,33.3,5.55,1.989
solis,2025-01-25,1298491919449775028,Harker Arena,1308675217948824676,4804040241200044,4804040241200044,0404,6.0,,35.2,5.87,2.236
solis,2025-01-25,1298491919449775028,Harker Arena,1308675217948824790,4804040241200032,4804040241200032,0404,6.0,,34.4,5.73,2.132
solis,2025-01-25,1298491919449775028,Harker Arena,1308675217948824824,4804040241200005,4804040241200005,0404,6.0,,33.5,5.58,2.015
solis,2025-01-26,1298491919449775028,Harker Arena,1308675217948824631,4804040241200012,4804040241200012,0404,6.0,,33.2,5.53,4.316
solis,2025-01-26,1298491919449775028,Harker Arena,1308675217948824676,4804040241200044,4804040241200044,0404,6.0,,33.3,5.55,4.329
solis,2025-01-26,1298491919449775028,Harker Arena,1308675217948824790,4804040241200032,4804040241200032,0404,6.0,,33.3,5.55,4.329
solis,2025-01-26,1298491919449775028,Harker Arena,1308675217948824824,4804040241200005,4804040241200005,0404,6.0,,33.7,5.62,4.381
solis,2025-01-27,1298491919449775028,Harker Arena,1308675217948824631,4804040241200012,4804040241200012,0404,6.0,,32.4,5.4,2.106
solis,2025-01-27,1298491919449775028,Harker Arena,1308675217948824676,4804040241200044,4804040241200044,0404,6.0,,33.0,5.5,2.132
solis,2025-01-27,1298491919449775028,Harker Arena,1308675217948824790,4804040241200032,4804040241200032,0404,6.0,,33.1,5.52,2.132
solis,2025-01-27,1298491919449775028,Harker Arena,1308675217948824824,4804040241200005,4804040241200005,0404,6.0,,34.1,5.68,2.158
solis,2025-01-28,1298491919449775028,Harker Arena,1308675217948824631,4804040241200012,4804040241200012,0404,6.0,,30.9,5.15,4.017
solis,2025-01-28,1298491919449775028,Harker Arena,1308675217948824676,4804040241200044,4804040241200044,0404,6.0,,31.7,5.28,4.121
solis,2025-01-28,1298491919449775028,Harker Arena,1308675217948824790,4804040241200032,4804040241200032,0404,6.0,,31.5,5.25,4.095
solis,2025-01-28,1298491919449775028,Harker Arena,1308675217948824824,4804040241200005,4804040241200005,0404,6.0,,31.7,5.28,4.121
solis,2025-01-29,1298491919449775028,Harker Arena,1308675217948824631,4804040241200012,4804040241200012,0404,6.0,,16.2,2.7,2.106
solis,2025-01-29,1298491919449775028,Harker Arena,1308675217948824676,4804040241200044,4804040241200044,0404,6.0,,16.8,2.8,2.184
solis,2025-01-29,1298491919449775028,Harker Arena,1308675217948824790,4804040241200032,4804040241200032,0404,6.0,,16.7,2.78,2.171
solis,2025-01-29,1298491919449775028,Harker Arena,1308675217948824824,4804040241200005,4804040241200005,0404,6.0,,16.5,2.75,2.145
solis,2025-01-30,1298491919449775028,Harker Arena,1308675217948824631,4804040241200012,4804040241200012,0404,6.0,,27.4,4.57,3.562
solis,2025-01-30,1298491919449775028,Harker Arena,1308675217948824676,4804040241200044,4804040241200044,0404,6.0,,28.2,4.7,3.666
solis,2025-01-30,1298491919449775028,Harker Arena,1308675217948824790,4804040241200032,4804040241200032,0404,6.0,,28.0,4.67,3.64
solis,2025-01-30,1298491919449775028,Harker Arena,1308675217948824824,4804040241200005,4804040241200005,0404,6.0,,28.0,4.67,3.64
solis,2025-01-31,1298491919449775028,Harker Arena,1308675217948824631,4804040241200012,4804040241200012,0404,6.0,,18.3,3.05,2.379
solis,2025-01-31,1298491919449775028,Harker Arena,1308675217948824676,4804040241200044,4804040241200044,0404,6.0,,18.6,3.1,2.418
solis,2025-01-31,1298491919449775028,Harker Arena,1308675217948824790,4804040241200032,4804040241200032,0404,6.0,,18.5,3.08,2.405
solis,2025-01-31,1298491919449775028,Harker Arena,1308675217948824824,4804040241200005,4804040241200005,0404,6.0,,18.6,3.1,2.418
solis,2025-02-01,1298491919449775028,Harker Arena,1308675217948824631,4804040241200012,4804040241200012,0404,6.0,,3.2,0.53,0.416
solis,2025-02-01,1298491919449775028,Harker Arena,1308675217948824676,4804040241200044,4804040241200044,0404,6.0,,3.6,0.6,0.468
solis,2025-02-01,1298491919449775028,Harker Arena,1308675217948824790,4804040241200032,4804040241200032,0404,6.0,,3.5,0.58,0.455
solis,2025-02-01,1298491919449775028,Harker Arena,1308675217948824824,4804040241200005,4804040241200005,0404,6.0,,3.0,0.5,0.39
solis,2025-02-02,1298491919449775028,Harker Arena,1308675217948824631,4804040241200012,4804040241200012,0404,6.0,,2.1,0.35,0.273
solis,2025-02-02,1298491919449775028,Harker Arena,1308675217948824676,4804040241200044,4804040241200044,0404,6.0,,2.2,0.37,0.286
solis,2025-02-02,1298491919449775028,Harker Arena,1308675217948824790,4804040241200032,4804040241200032,0404,6.0,,2.1,0.35,0.273
solis,2025-02-02,1298491919449775028,Harker Arena,1308675217948824824,4804040241200005,4804040241200005,0404,6.0,,2.0,0.33,0.26
solis,2025-02-03,1298491919449775028,Harker Arena,1308675217948824631,4804040241200012,4804040241200012,0404,6.0,,1.8,0.3,0.234
solis,2025-02-03,1298491919449775028,Harker Arena,1308675217948824676,4804040241200044,4804040241200044,0404,6.0,,2.1,0.35,0.273
solis,2025-02-03,1298491919449775028,Harker Arena,1308675217948824790,4804040241200032,4804040241200032,0404,6.0,,2.0,0.33,0.26
solis,2025-02-03,1298491919449775028,Harker Arena,1308675217948824824,4804040241200005,4804040241200005,0404,6.0,,1.8,0.3,0.234
solis,2025-02-04,1298491919449775028,Harker Arena,1308675217948824631,4804040241200012,4804040241200012,0404,6.0,,0.7,0.12,0.091
solis,2025-02-04,1298491919449775028,Harker Arena,1308675217948824676,4804040241200044,4804040241200044,0404,6.0,,0.8,0.13,0.104
solis,2025-02-04,1298491919449775028,Harker Arena,1308675217948824790,4804040241200032,4804040241200032,0404,6.0,,0.8,0.13,0.104
solis,2025-02-04,1298491919449775028,Harker Arena,1308675217948824824,4804040241200005,4804040241200005,0404,6.0,,0.7,0.12,0.091
solis,2025-02-05,1298491919449775028,Harker Arena,1308675217948824631,4804040241200012,4804040241200012,0404,6.0,,3.1,0.52,0.403
solis,2025-02-05,1298491919449775028,Harker Arena,1308675217948824676,4804040241200044,4804040241200044,0404,6.0,,3.6,0.6,0.468
solis,2025-02-05,1298491919449775028,Harker Arena,1308675217948824790,4804040241200032,4804040241200032,0404,6.0,,3.3,0.55,0.429
solis,2025-02-05,1298491919449775028,Harker Arena,1308675217948824824,4804040241200005,4804040241200005,0404,6.0,,3.2,0.53,0.416
solis,2025-02-06,1298491919449775028,Harker Arena,1308675217948824631,4804040241200012,4804040241200012,0404,6.0,,5.8,0.97,0.754
solis,2025-02-06,1298491919449775028,Harker Arena,1308675217948824676,4804040241200044,4804040241200044,0404,6.0,,10.9,1.82,1.417
solis,2025-02-06,1298491919449775028,Harker Arena,1308675217948824790,4804040241200032,4804040241200032,0404,6.0,,10.6,1.77,1.378
solis,2025-02-06,1298491919449775028,Harker Arena,1308675217948824824,4804040241200005,4804040241200005,0404,6.0,,6.1,1.02,0.793
solis,2025-02-07,1298491919449775028,Harker Arena,1308675217948824631,4804040241200012,4804040241200012,0404,6.0,,11.7,1.95,1.521
solis,2025-02-07,1298491919449775028,Harker Arena,1308675217948824676,4804040241200044,4804040241200044,0404,6.0,,19.9,3.32,2.587
solis,2025-02-07,1298491919449775028,Harker Arena,1308675217948824790,4804040241200032,4804040241200032,0404,6.0,,17.1,2.85,2.223
solis,2025-02-07,1298491919449775028,Harker Arena,1308675217948824824,4804040241200005,4804040241200005,0404,6.0,,13.7,2.28,1.781
solis,2025-02-08,1298491919449775028,Harker Arena,1308675217948824631,4804040241200012,4804040241200012,0404,6.0,,12.6,2.1,1.638
solis,2025-02-08,1298491919449775028,Harker Arena,1308675217948824676,4804040241200044,4804040241200044,0404,6.0,,17.9,2.98,2.327
solis,2025-02-08,1298491919449775028,Harker Arena,1308675217948824790,4804040241200032,4804040241200032,0404,6.0,,15.9,2.65,2.067
solis,2025-02-08,1298491919449775028,Harker Arena,1308675217948824824,4804040241200005,4804040241200005,0404,6.0,,12.2,2.03,1.586
solis,2025-02-09,1298491919449775028,Harker Arena,1308675217948824631,4804040241200012,4804040241200012,0404,6.0,,4.8,0.8,0.624
solis,2025-02-09,1298491919449775028,Harker Arena,1308675217948824676,4804040241200044,4804040241200044,0404,6.0,,5.5,0.92,0.715
solis,2025-02-09,1298491919449775028,Harker Arena,1308675217948824790,4804040241200032,4804040241200032,0404,6.0,,5.5,0.92,0.715
solis,2025-02-09,1298491919449775028,Harker Arena,1308675217948824824,4804040241200005,4804040241200005,0404,6.0,,5.4,0.9,0.702
solis,2025-02-10,1298491919449775028,Harker Arena,1308675217948824631,4804040241200012,4804040241200012,0404,6.0,,10.9,1.82,1.417
solis,2025-02-10,1298491919449775028,Harker Arena,1308675217948824676,4804040241200044,4804040241200044,0404,6.0,,14.5,2.42,1.885
solis,2025-02-10,1298491919449775028,Harker Arena,1308675217948824790,4804040241200032,4804040241200032,0404,6.0,,13.2,2.2,1.716
solis,2025-02-10,1298491919449775028,Harker Arena,1308675217948824824,4804040241200005,4804040241200005,0404,6.0,,9.9,1.65,1.287
solis,2025-02-11,1298491919449775028,Harker Arena,1308675217948824631,4804040241200012,4804040241200012,0404,6.0,,10.0,1.67,1.3
solis,2025-02-11,1298491919449775028,Harker Arena,1308675217948824676,4804040241200044,4804040241200044,0404,6.0,,13.5,2.25,1.755
solis,2025-02-11,1298491919449775028,Harker Arena,1308675217948824790,4804040241200032,4804040241200032,0404,6.0,,12.2,2.03,1.586
solis,2025-02-11,1298491919449775028,Harker Arena,1308675217948824824,4804040241200005,4804040241200005,0404,6.0,,8.4,1.4,1.092
solis,2025-02-12,1298491919449775028,Harker Arena,1308675217948824631,4804040241200012,4804040241200012,0404,6.0,,18.5,3.08,2.405
solis,2025-02-12,1298491919449775028,Harker Arena,1308675217948824676,4804040241200044,4804040241200044,0404,6.0,,27.7,4.62,3.601
solis,2025-02-12,1298491919449775028,Harker Arena,1308675217948824790,4804040241200032,4804040241200032,0404,6.0,,22.2,3.7,2.886
solis,2025-02-12,1298491919449775028,Harker Arena,1308675217948824824,4804040241200005,4804040241200005,0404,6.0,,15.0,2.5,1.95
solis,2025-02-13,1298491919449775028,Harker Arena,1308675217948824631,4804040241200012,4804040241200012,0404,6.0,,31.2,5.2,4.056
solis,2025-02-13,1298491919449775028,Harker Arena,1308675217948824676,4804040241200044,4804040241200044,0404,6.0,,38.7,6.45,5.031
solis,2025-02-13,1298491919449775028,Harker Arena,1308675217948824790,4804040241200032,4804040241200032,0404,6.0,,36.6,6.1,4.758
solis,2025-02-13,1298491919449775028,Harker Arena,1308675217948824824,4804040241200005,4804040241200005,0404,6.0,,28.1,4.68,3.653
solis,2025-02-14,1298491919449775028,Harker Arena,1308675217948824631,4804040241200012,4804040241200012,0404,6.0,,2.0,0.33,0.26
solis,2025-02-14,1298491919449775028,Harker Arena,1308675217948824676,4804040241200044,4804040241200044,0404,6.0,,2.3,0.38,0.299
solis,2025-02-14,1298491919449775028,Harker Arena,1308675217948824790,4804040241200032,4804040241200032,0404,6.0,,2.2,0.37,0.286
solis,2025-02-14,1298491919449775028,Harker Arena,1308675217948824824,4804040241200005,4804040241200005,0404,6.0,,1.9,0.32,0.247
solis,2025-02-15,1298491919449775028,Harker Arena,1308675217948824631,4804040241200012,4804040241200012,0404,6.0,,3.9,0.65,0.507
solis,2025-02-15,1298491919449775028,Harker Arena,1308675217948824676,4804040241200044,4804040241200044,0404,6.0,,9.6,1.6,1.248
solis,2025-02-15,1298491919449775028,Harker Arena,1308675217948824790,4804040241200032,4804040241200032,0404,6.0,,4.4,0.73,0.572
solis,2025-02-15,1298491919449775028,Harker Arena,1308675217948824824,4804040241200005,4804040241200005,0404,6.0,,3.8,0.63,0.494
solis,2025-02-16,1298491919449775028,Harker Arena,1308675217948824631,4804040241200012,4804040241200012,0404,6.0,,1.9,0.32,0.247
solis,2025-02-16,1298491919449775028,Harker Arena,1308675217948824676,4804040241200044,4804040241200044,0404,6.0,,12.3,2.05,1.599
solis,2025-02-16,1298491919449775028,Harker Arena,1308675217948824790,4804040241200032,4804040241200032,0404,6.0,,2.0,0.33,0.26
solis,2025-02-16,1298491919449775028,Harker Arena,1308675217948824824,4804040241200005,4804040241200005,0404,6.0,,1.7,0.28,0.221
solis,2025-02-17,1298491919449775028,Harker Arena,1308675217948824631,4804040241200012,4804040241200012,0404,6.0,,5.1,0.85,0.663
solis,2025-02-17,1298491919449775028,Harker Arena,1308675217948824676,4804040241200044,4804040241200044,0404,6.0,,8.6,1.43,1.118
solis,2025-02-17,1298491919449775028,Harker Arena,1308675217948824790,4804040241200032,4804040241200032,0404,6.0,,5.4,0.9,0.702
solis,2025-02-17,1298491919449775028,Harker Arena,1308675217948824824,4804040241200005,4804040241200005,0404,6.0,,4.6,0.77,0.598
solis,2025-02-18,1298491919449775028,Harker Arena,1308675217948824631,4804040241200012,4804040241200012,0404,6.0,,5.7,0.95,0.741
solis,2025-02-18,1298491919449775028,Harker Arena,1308675217948824676,4804040241200044,4804040241200044,0404,6.0,,13.4,2.23,1.742
solis,2025-02-18,1298491919449775028,Harker Arena,1308675217948824790,4804040241200032,4804040241200032,0404,6.0,,6.0,1.0,0.78
solis,2025-02-18,1298491919449775028,Harker Arena,1308675217948824824,4804040241200005,4804040241200005,0404,6.0,,5.2,0.87,0.676
solis,2025-02-19,1298491919449775028,Harker Arena,1308675217948824631,4804040241200012,4804040241200012,0404,6.0,,8.7,1.45,1.131
solis,2025-02-19,1298491919449775028,Harker Arena,1308675217948824676,4804040241200044,4804040241200044,0404,6.0,,33.5,5.58,4.355
solis,2025-02-19,1298491919449775028,Harker Arena,1308675217948824790,4804040241200032,4804040241200032,0404,6.0,,11.1,1.85,1.443
solis,2025-02-19,1298491919449775028,Harker Arena,1308675217948824824,4804040241200005,4804040241200005,0404,6.0,,6.3,1.05,0.819
solis,2025-02-20,1298491919449775028,Harker Arena,1308675217948824631,4804040241200012,4804040241200012,0404,6.0,,33.4,5.57,4.342
solis,2025-02-20,1298491919449775028,Harker Arena,1308675217948824676,4804040241200044,4804040241200044,0404,6.0,,37.5,6.25,4.875
solis,2025-02-20,1298491919449775028,Harker Arena,1308675217948824790,4804040241200032,4804040241200032,0404,6.0,,34.5,5.75,4.485
solis,2025-02-20,1298491919449775028,Harker Arena,1308675217948824824,4804040241200005,4804040241200005,0404,6.0,,31.7,5.28,4.121
solis,2025-02-21,1298491919449775028,Harker Arena,1308675217948824631,4804040241200012,4804040241200012,0404,6.0,,15.0,2.5,1.95
solis,2025-02-21,1298491919449775028,Harker Arena,1308675217948824676,4804040241200044,4804040241200044,0404,6.0,,15.5,2.58,2.015
solis,2025-02-21,1298491919449775028,Harker Arena,1308675217948824790,4804040241200032,4804040241200032,0404,6.0,,15.3,2.55,1.989
solis,2025-02-21,1298491919449775028,Harker Arena,1308675217948824824,4804040241200005,4804040241200005,0404,6.0,,15.5,2.58,2.015
solis,2025-02-22,1298491919449775028,Harker Arena,1308675217948824631,4804040241200012,4804040241200012,0404,6.0,,37.2,6.2,4.836
solis,2025-02-22,1298491919449775028,Harker Arena,1308675217948824676,4804040241200044,4804040241200044,0404,6.0,,34.6,5.77,4.498
solis,2025-02-22,1298491919449775028,Harker Arena,1308675217948824790,4804040241200032,4804040241200032,0404,6.0,,35.1,5.85,4.563
solis,2025-02-22,1298491919449775028,Harker Arena,1308675217948824824,4804040241200005,4804040241200005,0404,6.0,,36.3,6.05,4.719
solis,2025-02-23,1298491919449775028,Harker Arena,1308675217948824631,4804040241200012,4804040241200012,0404,6.0,,36.6,6.1,4.758
solis,2025-02-23,1298491919449775028,Harker Arena,1308675217948824676,4804040241200044,4804040241200044,0404,6.0,,33.3,5.55,4.329
solis,2025-02-23,1298491919449775028,Harker Arena,1308675217948824790,4804040241200032,4804040241200032,0404,6.0,,33.7,5.62,4.381
solis,2025-02-23,1298491919449775028,Harker Arena,1308675217948824824,4804040241200005,4804040241200005,0404,6.0,,34.9,5.82,4.537
solis,2025-02-24,1298491919449775028,Harker Arena,1308675217948824631,4804040241200012,4804040241200012,0404,6.0,,37.4,6.23,4.862
solis,2025-02-24,1298491919449775028,Harker Arena,1308675217948824676,4804040241200044,4804040241200044,0404,6.0,,35.8,5.97,4.654
solis,2025-02-24,1298491919449775028,Harker Arena,1308675217948824790,4804040241200032,4804040241200032,0404,6.0,,36.0,6.0,4.68
solis,2025-02-24,1298491919449775028,Harker Arena,1308675217948824824,4804040241200005,4804040241200005,0404,6.0,,37.1,6.18,4.823
solis,2025-02-25,1298491919449775028,Harker Arena,1308675217948824631,4804040241200012,4804040241200012,0404,6.0,,40.5,6.75,5.265
solis,2025-02-25,1298491919449775028,Harker Arena,1308675217948824676,4804040241200044,4804040241200044,0404,6.0,,38.8,6.47,5.044
solis,2025-02-25,1298491919449775028,Harker Arena,1308675217948824790,4804040241200032,4804040241200032,0404,6.0,,39.1,6.52,5.083
solis,2025-02-25,1298491919449775028,Harker Arena,1308675217948824824,4804040241200005,4804040241200005,0404,6.0,,40.2,6.7,5.226
solis,2025-02-26,1298491919449775028,Harker Arena,1308675217948824631,4804040241200012,4804040241200012,0404,6.0,,38.4,6.4,4.992
solis,2025-02-26,1298491919449775028,Harker Arena,1308675217948824676,4804040241200044,4804040241200044,0404,6.0,,37.1,6.18,4.823
solis,2025-02-26,1298491919449775028,Harker Arena,1308675217948824790,4804040241200032,4804040241200032,0404,6.0,,37.5,6.25,4.875
solis,2025-02-26,1298491919449775028,Harker Arena,1308675217948824824,4804040241200005,4804040241200005,0404,6.0,,38.2,6.37,4.966
solis,2025-02-27,1298491919449775028,Harker Arena,1308675217948824631,4804040241200012,4804040241200012,0404,6.0,,25.4,4.23,3.302
solis,2025-02-27,1298491919449775028,Harker Arena,1308675217948824676,4804040241200044,4804040241200044,0404,6.0,,25.2,4.2,3.276
solis,2025-02-27,1298491919449775028,Harker Arena,1308675217948824790,4804040241200032,4804040241200032,0404,6.0,,25.2,4.2,3.276
solis,2025-02-27,1298491919449775028,Harker Arena,1308675217948824824,4804040241200005,4804040241200005,0404,6.0,,25.7,4.28,3.341
solis,2025-02-28,1298491919449775028,Harker Arena,1308675217948824631,4804040241200012,4804040241200012,0404,6.0,,34.9,5.82,4.537
solis,2025-02-28,1298491919449775028,Harker Arena,1308675217948824676,4804040241200044,4804040241200044,0404,6.0,,34.3,5.72,4.459
solis,2025-02-28,1298491919449775028,Harker Arena,1308675217948824790,4804040241200032,4804040241200032,0404,6.0,,34.6,5.77,4.498
solis,2025-02-28,1298491919449775028,Harker Arena,1308675217948824824,4804040241200005,4804040241200005,0404,6.0,,35.2,5.87,4.576
solis,2025-03-01,1298491919449775028,Harker Arena,1308675217948824631,4804040241200012,4804040241200012,0404,6.0,,42.3,7.05,5.499
solis,2025-03-01,1298491919449775028,Harker Arena,1308675217948824676,4804040241200044,4804040241200044,0404,6.0,,42.4,7.07,5.512
solis,2025-03-01,1298491919449775028,Harker Arena,1308675217948824790,4804040241200032,4804040241200032,0404,6.0,,42.4,7.07,5.512
solis,2025-03-01,1298491919449775028,Harker Arena,1308675217948824824,4804040241200005,4804040241200005,0404,6.0,,42.7,7.12,5.551
solis,2025-03-02,1298491919449775028,Harker Arena,1308675217948824631,4804040241200012,4804040241200012,0404,6.0,,42.8,7.13,5.564
solis,2025-03-02,1298491919449775028,Harker Arena,1308675217948824676,4804040241200044,4804040241200044,0404,6.0,,40.9,6.82,5.317
solis,2025-03-02,1298491919449775028,Harker Arena,1308675217948824790,4804040241200032,4804040241200032,0404,6.0,,41.2,6.87,5.356
solis,2025-03-02,1298491919449775028,Harker Arena,1308675217948824824,4804040241200005,4804040241200005,0404,6.0,,42.6,7.1,5.538
solis,2025-03-03,1298491919449775028,Harker Arena,1308675217948824631,4804040241200012,4804040241200012,0404,6.0,,8.8,1.47,1.144
solis,2025-03-03,1298491919449775028,Harker Arena,1308675217948824676,4804040241200044,4804040241200044,0404,6.0,,9.0,1.5,1.17
solis,2025-03-03,1298491919449775028,Harker Arena,1308675217948824790,4804040241200032,4804040241200032,0404,6.0,,8.9,1.48,1.157
solis,2025-03-03,1298491919449775028,Harker Arena,1308675217948824824,4804040241200005,4804040241200005,0404,6.0,,9.0,1.5,1.17
solis,2025-03-04,1298491919449775028,Harker Arena,1308675217948824631,4804040241200012,4804040241200012,0404,6.0,,39.8,6.63,5.174
solis,2025-03-04,1298491919449775028,Harker Arena,1308675217948824676,4804040241200044,4804040241200044,0404,6.0,,38.1,6.35,4.953
solis,2025-03-04,1298491919449775028,Harker Arena,1308675217948824790,4804040241200032,4804040241200032,0404,6.0,,38.5,6.42,5.005
solis,2025-03-04,1298491919449775028,Harker Arena,1308675217948824824,4804040241200005,4804040241200005,0404,6.0,,39.5,6.58,5.135
solis,2025-03-05,1298491919449775028,Harker Arena,1308675217948824631,4804040241200012,4804040241200012,0404,6.0,,16.5,2.75,2.145
solis,2025-03-05,1298491919449775028,Harker Arena,1308675217948824676,4804040241200044,4804040241200044,0404,6.0,,16.8,2.8,2.184
solis,2025-03-05,1298491919449775028,Harker Arena,1308675217948824790,4804040241200032,4804040241200032,0404,6.0,,16.7,2.78,2.171
solis,2025-03-05,1298491919449775028,Harker Arena,1308675217948824824,4804040241200005,4804040241200005,0404,6.0,,16.7,2.78,2.171
solis,2025-03-06,1298491919449775028,Harker Arena,1308675217948824631,4804040241200012,4804040241200012,0404,6.0,,37.4,6.23,4.862
solis,2025-03-06,1298491919449775028,Harker Arena,1308675217948824676,4804040241200044,4804040241200044,0404,6.0,,35.5,5.92,4.615
solis,2025-03-06,1298491919449775028,Harker Arena,1308675217948824790,4804040241200032,4804040241200032,0404,6.0,,35.9,5.98,4.667
solis,2025-03-06,1298491919449775028,Harker Arena,1308675217948824824,4804040241200005,4804040241200005,0404,6.0,,37.1,6.18,4.823
solis,2025-03-07,1298491919449775028,Harker Arena,1308675217948824631,4804040241200012,4804040241200012,0404,6.0,,44.6,7.43,5.798
solis,2025-03-07,1298491919449775028,Harker Arena,1308675217948824676,4804040241200044,4804040241200044,0404,6.0,,41.7,6.95,5.421
solis,2025-03-07,1298491919449775028,Harker Arena,1308675217948824790,4804040241200032,4804040241200032,0404,6.0,,42.5,7.08,5.525
solis,2025-03-07,1298491919449775028,Harker Arena,1308675217948824824,4804040241200005,4804040241200005,0404,6.0,,43.9,7.32,5.707
solis,2025-03-08,1298491919449775028,Harker Arena,1308675217948824631,4804040241200012,4804040241200012,0404,6.0,,23.7,3.95,3.081
solis,2025-03-08,1298491919449775028,Harker Arena,1308675217948824676,4804040241200044,4804040241200044,0404,6.0,,23.6,3.93,3.068
solis,2025-03-08,1298491919449775028,Harker Arena,1308675217948824790,4804040241200032,4804040241200032,0404,6.0,,23.6,3.93,3.068
solis,2025-03-08,1298491919449775028,Harker Arena,1308675217948824824,4804040241200005,4804040241200005,0404,6.0,,24.0,4.0,3.12
solis,2025-03-09,1298491919449775028,Harker Arena,1308675217948824631,4804040241200012,4804040241200012,0404,6.0,,29.0,4.83,3.77
solis,2025-03-09,1298491919449775028,Harker Arena,1308675217948824676,4804040241200044,4804040241200044,0404,6.0,,29.3,4.88,3.809
solis,2025-03-09,1298491919449775028,Harker Arena,1308675217948824790,4804040241200032,4804040241200032,0404,6.0,,29.3,4.88,3.809
solis,2025-03-09,1298491919449775028,Harker Arena,1308675217948824824,4804040241200005,4804040241200005,0404,6.0,,29.7,4.95,3.861
solis,2025-03-10,1298491919449775028,Harker Arena,1308675217948824631,4804040241200012,4804040241200012,0404,6.0,,27.8,4.63,3.614
solis,2025-03-10,1298491919449775028,Harker Arena,1308675217948824676,4804040241200044,4804040241200044,0404,6.0,,27.3,4.55,3.549
solis,2025-03-10,1298491919449775028,Harker Arena,1308675217948824790,4804040241200032,4804040241200032,0404,6.0,,27.6,4.6,3.588
solis,2025-03-10,1298491919449775028,Harker Arena,1308675217948824824,4804040241200005,4804040241200005,0404,6.0,,27.3,4.55,3.549
solis,2025-03-11,1298491919449775028,Harker Arena,1308675217948824631,4804040241200012,4804040241200012,0404,6.0,,32.2,5.37,4.186
solis,2025-03-11,1298491919449775028,Harker Arena,1308675217948824676,4804040241200044,4804040241200044,0404,6.0,,30.8,5.13,4.004
solis,2025-03-11,1298491919449775028,Harker Arena,1308675217948824790,4804040241200032,4804040241200032,0404,6.0,,31.0,5.17,4.03
solis,2025-03-11,1298491919449775028,Harker Arena,1308675217948824824,4804040241200005,4804040241200005,0404,6.0,,32.1,5.35,4.173
solis,2025-03-12,1298491919449775028,Harker Arena,1308675217948824631,4804040241200012,4804040241200012,0404,6.0,,34.9,5.82,4.537
solis,2025-03-12,1298491919449775028,Harker Arena,1308675217948824676,4804040241200044,4804040241200044,0404,6.0,,34.1,5.68,4.433
solis,2025-03-12,1298491919449775028,Harker Arena,1308675217948824790,4804040241200032,4804040241200032,0404,6.0,,34.3,5.72,4.459
